timestamp,prediction,resources,allocation,usage,prev_usage
60,None,6,13,5.454915298291055,None
75,6,6,0,2.648535618497199,5.454915298291055
90,6,6,0,3.417470114229511,2.648535618497199
105,6,6,0,2.3295989579642966,3.417470114229511
120,6,6,0,3.307657773789875,2.3295989579642966
135,6,6,0,2.4211152543029373,3.307657773789875
150,6,6,0,2.32238286389866,2.4211152543029373
165,6,6,0,2.371907460991163,2.32238286389866
180,6,6,0,2.3185523247523294,2.371907460991163
195,6,6,0,2.36032150888358,2.3185523247523294
210,6,6,0,2.4608389777192463,2.36032150888358
225,6,6,0,2.440901154975419,2.4608389777192463
240,6,6,0,2.747668356221807,2.440901154975419
255,6,6,0,2.754156265668371,2.747668356221807
270,6,6,0,2.7206819333002286,2.754156265668371
285,6,6,0,2.805484211611916,2.7206819333002286
300,6,6,0,2.7813703975502135,2.805484211611916
315,6,6,0,2.855879765964891,2.7813703975502135
330,6,6,0,2.623964799969447,2.855879765964891
345,6,6,0,2.4778200209825125,2.623964799969447
360,6,6,0,2.5217999711696977,2.4778200209825125
375,6,6,0,2.4814206692903973,2.5217999711696977
390,6,6,0,2.2886137486022142,2.4814206692903973
405,6,6,0,1.9766254245451338,2.2886137486022142
420,6,6,0,1.9963817850394059,1.9766254245451338
435,6,6,0,2.1267676832811477,1.9963817850394059
450,6,6,0,2.124228211410617,2.1267676832811477
465,6,6,0,2.1261488141027405,2.124228211410617
480,6,6,0,2.1525536704844,2.1261488141027405
495,6,6,0,2.3605524150746717,2.1525536704844
510,6,6,0,2.3704321265274313,2.3605524150746717
525,6,6,0,2.4025059062837433,2.3704321265274313
540,6,6,0,2.320342422088875,2.4025059062837433
555,6,6,0,2.399277593146939,2.320342422088875
570,6,6,0,2.363304098722908,2.399277593146939
585,6,6,0,2.363265581462208,2.363304098722908
600,6,6,0,2.43174917412735,2.363265581462208
615,6,6,0,2.5751675226786275,2.43174917412735
630,6,6,0,2.371604718746744,2.5751675226786275
645,6,6,0,2.5188111544034806,2.371604718746744
660,6,6,0,2.5224853055060397,2.5188111544034806
675,6,6,0,2.4374790747870776,2.5224853055060397
690,6,6,0,2.2287366860751345,2.4374790747870776
